empty_samples,gen_ppl,max_tokens,mean_tokens,method,min_tokens,nfe,num_samples,rank_wasserstein,rep_1,rep_2,rep_3,source_entropy,source_file,source_gen_ppl,temperature,temperature_label,unigram_entropy,unique_1gram_corpus,unique_1gram_sample,unique_2gram_corpus,unique_2gram_sample,unique_3gram_corpus,unique_3gram_sample,unique_4gram_corpus,unique_4gram_sample,source_group,display_name,source_nfe
0,27489.578126114913,1050,1036.2265625,candi,1024,8,256,6.614395702297341,0.05217541819621053,0.0006195463761604746,7.5556092843324235e-06,6.8578362464904785,/data/remote_cache/patrick/discrete_diffusion/gen-sample-candi-proj/candi-orig-50k/samples_steps8_temp1.476.json,27489.3984375,1.4758620262145996,1.476,6.864717791081486,0.14101645845427746,0.9478245818037901,0.49737376329155003,0.9993804536238404,0.499905575573534,0.9999924443907157,0.5,1.0,diffusion,CANDI,
0,31885.29060645718,1050,1038.3125,candi,1025,8,256,6.7922761641392855,0.043502364561886324,0.0004067135008925171,7.577594568380572e-06,6.8726701736450195,/data/remote_cache/patrick/discrete_diffusion/gen-sample-candi-proj/candi-orig-50k/samples_steps8_temp1.541.json,31885.126953125,1.5413793325424194,1.541,6.880950789551943,0.14396481670980557,0.9564976354381138,0.4980681749713804,0.9995932864991081,0.49994722875580483,0.9999924224054315,0.5,1.0,diffusion,CANDI,
0,35883.21309393643,1053,1039.7734375,candi,1024,8,256,6.920774805467299,0.03842023918164085,0.00016549313856603284,0.0,6.881648540496826,/data/remote_cache/patrick/discrete_diffusion/gen-sample-candi-proj/candi-orig-50k/samples_steps8_temp1.607.json,35883.13671875,1.6068965196609497,1.607,6.890613726691028,0.1463697770698244,0.9615797608183595,0.498567270594075,0.9998345068614337,0.4999811796589754,1.0,0.5,1.0,diffusion,CANDI,
0,40274.56246072986,1060,1042.5390625,candi,1028,8,256,7.046448492889583,0.035335223081937,0.0001795212186327397,1.4909568346372151e-05,6.888404846191406,/data/remote_cache/patrick/discrete_diffusion/gen-sample-candi-proj/candi-orig-50k/samples_steps8_temp1.672.json,40274.49609375,1.6724138259887695,1.672,6.898197578961523,0.1485106223537787,0.9646647769180621,0.49866108598303294,0.9998204787813673,0.49996245936225964,0.9999850904316536,0.5,1.0,diffusion,CANDI,
0,42826.11469639326,1064,1043.9453125,candi,1030,8,256,7.124657543738509,0.03253693382764942,8.226120634084039e-05,0.0,6.892910957336426,/data/remote_cache/patrick/discrete_diffusion/gen-sample-candi-proj/candi-orig-50k/samples_steps8_temp1.738.json,42826.0078125,1.7379310131072998,1.738,6.9036196955283655,0.15015902712815715,0.9674630661723491,0.49888387004951423,0.9999177387936591,0.4999812550142837,1.0,0.5,1.0,diffusion,CANDI,
0,46378.725488441305,1062,1045.0546875,candi,1028,8,256,7.2152188938280934,0.0290765189201818,4.48430119865768e-05,0.0,6.8978657722473145,/data/remote_cache/patrick/discrete_diffusion/gen-sample-candi-proj/candi-orig-50k/samples_steps8_temp1.803.json,46378.51953125,1.8034483194351196,1.803,6.909702538846446,0.1516629662024266,0.9709234810798191,0.49891872881419347,0.9999551569880133,0.4999513148729318,1.0,0.49999625139635484,1.0,diffusion,CANDI,
0,49864.7624458599,1066,1044.8515625,candi,1030,8,256,7.287782717663692,0.027296052417059968,4.502251326557547e-05,0.0,6.900794982910156,/data/remote_cache/patrick/discrete_diffusion/gen-sample-candi-proj/candi-orig-50k/samples_steps8_temp1.869.json,49864.671875,1.86896550655365,1.869,6.912346463613418,0.15350191788606335,0.9727039475829397,0.49907943089370044,0.9999549774867347,0.4999662883470053,1.0,0.5,1.0,diffusion,CANDI,
0,51911.75464873702,1063,1047.4609375,candi,1032,8,256,7.338687306434244,0.026280759951302288,1.4916498367743142e-05,0.0,6.903039455413818,/data/remote_cache/patrick/discrete_diffusion/gen-sample-candi-proj/candi-orig-50k/samples_steps8_temp1.934.json,51911.5234375,1.9344828128814697,1.934,6.916034681912704,0.15430915532351297,0.9737192400486975,0.49889135254988914,0.9999850835016323,0.4999551633176156,1.0,0.4999962600324629,1.0,diffusion,CANDI,
0,54863.745612129176,1068,1047.6953125,candi,1030,8,256,7.39521266522954,0.02539901609975949,2.2385481999801816e-05,0.0,6.9042439460754395,/data/remote_cache/patrick/discrete_diffusion/gen-sample-candi-proj/candi-orig-50k/samples_steps8_temp2.000.json,54863.69921875,2.0,2.000,6.917576656622012,0.15550501472726594,0.9746009839002395,0.4991005918926383,0.9999776145180002,0.49996638002525234,1.0,0.5,1.0,diffusion,CANDI,
0,5.766974847118379,1028,1013.2421875,candi,961,16,256,0.6202046341659222,0.9525484423796847,0.8409812631020857,0.6913864828987778,2.6852774620056152,/data/remote_cache/patrick/discrete_diffusion/gen-sample-candi-proj/candi-orig-50k/samples_steps16_temp0.100.json,5.766057014465332,0.10000000149011612,0.100,2.7390793769707487,0.002517444774278114,0.04745155762031535,0.018530953097625168,0.15901873689791435,0.06317647695053269,0.3086135171012217,0.1375289031868905,0.4774102148374906,diffusion,CANDI,
0,5.727082062078177,1024,1012.7890625,candi,960,16,256,0.6220635600543377,0.9515007296604748,0.8387451182950524,0.6883646343069003,2.6838974952697754,/data/remote_cache/patrick/discrete_diffusion/gen-sample-candi-proj/candi-orig-50k/samples_steps16_temp0.166.json,5.726118087768555,0.16551724076271057,0.166,2.7351870511996412,0.0023720079915456236,0.04849927033952526,0.018566277247141126,0.16125488170494712,0.06435643564356436,0.31163536569309946,0.14077042699202338,0.4803254805639137,diffusion,CANDI,
0,6.055255323567572,1024,1013.3046875,candi,969,16,256,0.5916824592222829,0.947258843454945,0.82512764048682,0.668736208960127,2.746661424636841,/data/remote_cache/patrick/discrete_diffusion/gen-sample-candi-proj/candi-orig-50k/samples_steps16_temp0.231.json,6.054046630859375,0.23103448748588562,0.231,2.800432611030334,0.002632938328334734,0.05274115654505511,0.021030291337063477,0.17487235951318,0.07004411071712748,0.33126379103987263,0.1468113734254054,0.5010858836831972,diffusion,CANDI,
0,6.376747105216931,1024,1014.4921875,candi,979,16,256,0.5665953940233106,0.9428881224470874,0.8115887487695421,0.646462124749472,2.81362247467041,/data/remote_cache/patrick/discrete_diffusion/gen-sample-candi-proj/candi-orig-50k/samples_steps16_temp0.297.json,6.375972747802734,0.2965517044067383,0.297,2.8629865572662396,0.0031111624504254745,0.05711187755291253,0.023722895002582345,0.18841125123045785,0.07798671286043873,0.3535378752505283,0.16226027450162583,0.5269408587611282,diffusion,CANDI,
