display_name,empty_samples,gen_ppl,max_tokens,mean_tokens,method,min_tokens,nfe,num_samples,rank_wasserstein,rep_1,rep_2,rep_3,temperature,temperature_label,unigram_entropy,unique_1gram_corpus,unique_1gram_sample,unique_2gram_corpus,unique_2gram_sample,unique_3gram_corpus,unique_3gram_sample,unique_4gram_corpus,unique_4gram_sample,source_group,source_entropy,source_file,source_gen_ppl,source_nfe
CANDI,0,18.465354748937504,1025,1021.7734375,candi,1006,32,256,0.15224313468450365,0.735199909696311,0.3730538483409461,0.1823054010448502,0.6896551847457886,0.690,4.556654928675139,0.02574032587336662,0.26480009030368906,0.14491539044382706,0.6269461516590551,0.29453156721391854,0.8176945989551502,0.3892625169666342,0.911431209920848,diffusion,4.546048164367676,/data/remote_cache/patrick/discrete_diffusion/gen-sample-candi-proj/candi-orig-50k/samples_steps32_temp0.690.json,18.461959838867188,
DUO,0,14.885174394853204,1025,1020.375,duo,995,32,256,0.023856987133482114,0.7458645141046183,0.45367346909365647,0.26774807799919276,0.625,0.625,4.103721972573765,0.0364066519661889,0.25413548589538154,0.15200797057020232,0.5463265309063432,0.2771879219344544,0.7322519220008067,0.3678315825039931,0.8459761833589954,diffusion,4.08438777923584,/data/remote_cache/patrick/discrete_diffusion/gen-sample-candi-proj/duo-50k/samples_steps32_temp0.625.json,14.88253116607666,
MDLM,0,12.569071201847795,1024,1015.96875,mdlm,972,32,256,0.13015298841952586,0.8003349064890122,0.519189308176117,0.33040542162088243,0.6896551847457886,0.690,3.8981161764303702,0.02160807111439205,0.19966509351098863,0.114993534283691,0.48081069182388314,0.2373062224550806,0.6695945783791176,0.33240012339966063,0.7939341809724513,diffusion,3.85115909576416,/data/remote_cache/patrick/discrete_diffusion/gen-sample-candi-proj/mdlm-50k/samples_steps32_temp0.690.json,12.566729545593262,
CANDI,0,15.812368142172847,1026,1022.96875,candi,1017,64,256,0.12392519515745493,0.7419178950154848,0.3910565909712796,0.20298626665926567,0.6896551847457886,0.690,4.562241641877156,0.024755613257980754,0.2580821049845153,0.13877167232364004,0.6089434090287211,0.2824485017293624,0.7970137333407354,0.376290633904225,0.8938740552379545,diffusion,4.556242942810059,/data/remote_cache/patrick/discrete_diffusion/gen-sample-candi-proj/candi-orig-50k/samples_steps64_temp0.690.json,15.809507369995117,
DUO,0,13.555371259758969,1026,1021.078125,duo,993,64,256,0.05000815163829336,0.7421747357571947,0.4538957063969908,0.2773977902198327,0.625,0.625,4.163607036430388,0.037877396746698495,0.25782526424280594,0.15829057210691583,0.5461042936030088,0.28449425798439154,0.7226022097801681,0.36996408674432524,0.8276519075366108,diffusion,4.149733066558838,/data/remote_cache/patrick/discrete_diffusion/gen-sample-candi-proj/duo-50k/samples_steps64_temp0.625.json,13.55295467376709,
MDLM,0,17.563462828507298,1024,1022.3984375,mdlm,1013,64,256,0.11589795675411717,0.7156907467011954,0.3635884843822558,0.19199345303003834,0.7551723718643188,0.755,4.600837340260134,0.03087485767993459,0.2843092532988043,0.1634975026579674,0.6364115156177438,0.3089709136290205,0.8080065469699619,0.3948138838009549,0.8967683493224908,diffusion,4.590970993041992,/data/remote_cache/patrick/discrete_diffusion/gen-sample-candi-proj/mdlm-50k/samples_steps64_temp0.755.json,17.560285568237305,
AR,0,13.962104084959442,1025,1023.609375,ar,1020,128,256,0.02606072523110476,0.5852583502563948,0.22358507766908517,0.11578304383334223,0.8999999761581421,0.900,5.2706906742704005,0.054483216559051154,0.41474164974360556,0.2550193286170489,0.776414922330915,0.3914358472385788,0.8842169561666573,0.44288415315604956,0.9280112492567525,ar,5.270382881164551,/data/remote_cache/patrick/discrete_diffusion/openwebtext-train/2026.06.22/004711/samples_steps64_temp0.900.json,13.959887504577637,64
CANDI,0,14.093309907958474,1024,1022.921875,candi,1007,128,256,0.13939557619703852,0.7563525082488749,0.4155722450869505,0.22225795611092192,0.6896551847457886,0.690,4.48857134417754,0.023057418241251317,0.2436474917511244,0.13012400042811492,0.5844277549130498,0.2707035614257947,0.7777420438890781,0.3656491765607047,0.8814328097175967,diffusion,4.484915256500244,/data/remote_cache/patrick/discrete_diffusion/gen-sample-candi-proj/candi-orig-50k/samples_steps128_temp0.690.json,14.090789794921875,
DUO,0,14.138928246127977,1026,1021.7421875,duo,999,128,256,0.02461165020575858,0.7252980894464173,0.4264230001881117,0.2548631998009825,0.6500000357627869,0.650,4.2953547692234,0.04022694081034997,0.2747019105535826,0.16928169606980215,0.5735769998118883,0.30013330575283276,0.7451368001990178,0.3815980183897116,0.8408908982533638,diffusion,4.286004066467285,/data/remote_cache/patrick/discrete_diffusion/gen-sample-candi-proj/duo-50k/samples_steps128_temp0.650.json,14.136459350585938,
MDLM,0,15.482492346059285,1025,1022.9140625,mdlm,1010,128,256,0.08811425520988544,0.7293837969577857,0.3883449881229997,0.21474468859202933,0.7551723718643188,0.755,4.536334639030785,0.029557101723782394,0.2706162030422141,0.15698176675203548,0.6116550118770003,0.29900824169517204,0.7852553114079706,0.38409332894162346,0.8770263176540873,diffusion,4.5313615798950195,/data/remote_cache/patrick/discrete_diffusion/gen-sample-candi-proj/mdlm-50k/samples_steps128_temp0.755.json,15.479723930358887,
